Name of the initiative,Instrument Type,Country,Region,Jurisdiction Covered,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,Iceland,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52488214,24.84177215,24.79546375,26.72520844,21.9094158,27.33040508,28.17634619,32.27226965,55.19284566,47.70450644,46.95901901,48.9272425,54.87235367,55.65740265
Tokyo CaT,ETS,Japan,East Asia & Pacific,Tokyo,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,0,0,0,Not available
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,Ireland,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.9302,398.2380998,455.8200002,535.0519998,414.0675,474.428,497.292,475.7501083,539.3128064,494.3837176,481.1841341,575.5540002,874.2132,1016.8125
Saitama ETS,ETS,Japan,East Asia & Pacific,Saitama,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,0,0,0,Not available
California CaT,ETS,USA,North America,California,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76,476.7979802,437.1072159,2558.161288,901.0963089,2024.167788,3020,3064.749861,1698.32,3992.3,4027.4,4720.559638
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,Japan,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.4447758,871.5018883,1417.25719,1558.526441,2337.789661,2340.919887,2486.725563,2361.360498,2435.397241,1985.738785,1800.327332,1673.157027
Quebec CaT,ETS,Canada,North America,Quebec,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8044994,651.1019886,257.5735239,358.854957,497.5971857,726.2944934,485.2640841,895.9013132,1069.373402,1048.802952
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Kazakhstan,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,United Kingdom,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.161374,1765.493001,2600.052,1340.98811,1092.861455,1177.46052,1162.413214,851.7440996,723.1875001,927.36037,994.49518
Shenzhen pilot ETS,ETS,China,East Asia & Pacific,Shenzhen,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432387411,0,0,0,0,0,0.374431679,0,3.972447632,0
Shanghai pilot ETS,ETS,China,East Asia & Pacific,Shanghai,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235483054,2.018622333,0.524434968,11.88609436,3.285449067,22.12524376,27.95370168
Beijing pilot ETS,ETS,China,East Asia & Pacific,Beijing,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77064855,23.43451991
Guangdong pilot ETS,ETS,China,East Asia & Pacific,Guangdong (except Shenzhen),US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26686503,93.00934336,5.677247695,1.662954025,2.285583385,0,0,1.587815542,0,128.2474681,0
Tianjin pilot ETS,ETS,China,East Asia & Pacific,Tianjin,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.989752675,11.51352832,13.43677378,0
France carbon tax,Carbon tax,France,Europe & Central Asia,France,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.65,2858,4344.16,5813.773234,10220.90753,9213.514737,8967.5225,8926.960003,8399.52,8373.75
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Mexico,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.5480338,477.5467584,477.5467584,607.0217979,321.8654082,268.1599807,191.8603382,305.332681,217.0012901,437.1864867
Hubei pilot ETS,ETS,China,East Asia & Pacific,Hubei,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.511052512,0,0,0,0,18.28668977,6.943877721,13.01092613,13.63307542,6.842833224
Chongqing pilot ETS,ETS,China,East Asia & Pacific,Chongqing,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.94147366,12.56683651,0
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,"Korea, Rep.",US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.78957764,192.5167375,203.524718,260.2860675,261.9145949,64.56529376
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,Portugal,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.604,142.3160472,147.3654308,171.0923386,288.3828472,256.9960716,351.9101601,495.35064,487.4175
BC OBPS,ETS,Canada,North America,British Columbia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.604,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
