Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia,Switzerland,National,Switzerland carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000426924,0.000416415,0.000409807,0.000369105,0.000373788,0.000376417,0.000348655,0.000344908,0.00034703,0.000335143,0.00031881,0.000316688,0.000311184,0.000302104,0.000295299,0.000295299,0.000295299
Europe & Central Asia,Liechtenstein,National,Liechtenstein carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,4.12E-06,3.92E-06,3.51E-06,3.21E-06,3.30E-06,3.34E-06,2.87E-06,2.85E-06,2.69E-06,2.73E-06,2.50E-06,2.58E-06,2.57E-06,2.50E-06,2.46E-06,2.46E-06,2.46E-06
Europe & Central Asia,Albania,National,Albania Carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.000127779,0.00012648,0.000128833,0.00012279,0.000124628,0.000130859,0.000128804,0.000122698,0.000132342,0.000128582,0.000121457,0.000113368,0.000108669,0.000108353,0.000108353,0.000108353
North America,Canada,BC,BC carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.001033412,0.000977418,0.000965866,0.00099452,0.000966259,0.000943734,0.000957427,0.000969349,0.000968837,0.000977134,0.000958953,0.000932211,0.000889616,0.000877551,0.000877551,0.000877551
North America,USA,National,RGGI,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,0.002182083,0.00204748,0.001914979,0.001929122,0.001963246,0.00195948,0.001919255,0.001813561,0.001853081,0.001797139,0.001670688,0.001666988,0.001644381,0.001644381,0.001644381
Europe & Central Asia,Iceland,National,Iceland carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,3.51E-05,3.46E-05,3.44E-05,3.29E-05,3.41E-05,3.10E-05,3.14E-05,3.03E-05,2.94E-05,2.95E-05,2.82E-05,3.10E-05,3.10E-05,3.10E-05
East Asia & Pacific,Japan,National,Tokyo CaT,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.000258794,0.000255314,0.000251185,0.000249348,0.00023804,0.000237054,0.000233107,0.000227756,0.00021234,0.000220413,0.00020627,0.000203473,0.000203473,0.000203473
Europe & Central Asia,Ireland,National,Ireland carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.000382181,0.000383806,0.000372616,0.00037042,0.000383095,0.000402338,0.000390396,0.00036424,0.000352223,0.000352321,0.000345485,0.000348152,0.000348152,0.000348152
Europe & Central Asia,Ukraine,National,Ukraine carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002705845,0.002604512,0.002273761,0.001922024,0.001954149,0.001754706,0.001800092,0.001733576,0.001734613,0.001568617,0.001241107,0.001241107,0.001241107
East Asia & Pacific,Japan,Saitama,Saitama ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.000161259,0.000158225,0.000150924,0.000146486,0.000145879,0.00014345,0.000140158,0.000135623,0.000138789,0.000132447,0.000130651,0.000130651,0.000130651
